style_name,style_id
Abstract,1
Hip Hop,2
Conscious,3
Instrumental,4
Electro,5
Acid House,6
Pop Rap,7
Big Beat,8
Breakbeat,9
Breaks,10
Boom Bap,11
Downtempo,12
Experimental,13
Cut-up/DJ,14
Soundtrack,15
Trip Hop,16
Hardcore Hip-Hop,17
Surf,18
Drum n Bass,19
Contemporary R&B,20
Funk,21
House,22
Broken Beat,23
Progressive House,24
UK Garage,25
IDM,26
Folk,27
Alternative Rock,28
DJ Battle Tool,29
Thug Rap,30
Dub,31
Jazzy Hip-Hop,32
Heavy Metal,33
Hard Rock,34
Classic Rock,35
Country Rock,36
Reggae,37
Roots Reggae,38
Punk,39
Rock & Roll,40
Psychedelic Rock,41
Pop Rock,42
New Wave,43
Synth-pop,44
Glam,45
Arena Rock,46
Disco,47
Beat,48
Folk Rock,49
Interview,50
Soul,51
Rhythm & Blues,52
Art Rock,53
Avantgarde,54
Jazz-Rock,55
Prog Rock,56
Blues Rock,57
Ballad,58
Vocal,59
Symphonic Rock,60
Lo-Fi,61
Indie Rock,62
Noise,63
Garage Rock,64
Mod,65
Technical,66
Musical,67
Story,68
Big Band,69
Audiobook,70
Score,71
Acoustic,72
Soft Rock,73
Funk Metal,74
Alternative Metal,75
Hardcore,76
Neo-Classical,77
Comedy,78
Novelty,79
Pub Rock,80
Holiday,81
Ska,82
Pop Punk,83
Modern Classical,84
Choral,85
Music Hall,86
Radioplay,87
Ambient,88
Education,89
Latin Jazz,90
Illbient,91
Leftfield,92
Romantic,93
Theme,94
Nu Metal,95
Future Jazz,96
Special Effects,97
Field Recording,98
Movie Effects,99
Hip-House,100
Jungle,101
Gangsta,102
Hardstyle,103
Post Rock,104
Spoken Word,105
Chanson,106
Cloud Rap,107
Neo Soul,108
Jazz-Funk,109
Speed Metal,110
Dance-pop,111
Electric Blues,112
Louisiana Blues,113
Piano Blues,114
Soul-Jazz,115
Easy Listening,116
Country,117
